                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0028,                 2.9275,                 4.0767,                0.00328,                0.98276,                0.06117,                0.00633,                 3.3146,                 3.8129,                 4.1736,             0.00065455,             0.00065455,             0.00065455
                      2,                 2.6138,                 2.6844,                 3.4573,                0.03911,                0.96322,                0.20357,                0.02078,                 3.3639,                 35.938,                 7.6604,              0.0013147,              0.0013147,              0.0013147
                      3,                 2.1354,                 2.4303,                 2.8394,                0.45646,                0.50575,                0.40134,                0.31585,                 1.2085,                 3.2658,                 2.2386,              0.0019682,              0.0019682,              0.0019682
                      4,                 1.6709,                      2,                 2.3779,                0.29283,                0.45517,                0.23431,                0.15362,                 1.3628,                 2.4425,                 2.3183,              0.0019703,              0.0019703,              0.0019703
                      5,                  1.356,                  1.578,                 2.0198,                0.34965,                0.60438,                 0.2902,                0.19401,                 1.1098,                 4.8257,                 1.8214,              0.0019703,              0.0019703,              0.0019703
                      6,                 1.1403,                 1.2622,                 1.7973,                0.41106,                0.51839,                0.38273,                0.26562,                 1.0482,                 2.8721,                 1.6808,              0.0019604,              0.0019604,              0.0019604
                      7,                0.99972,                 1.1175,                 1.6489,                0.54933,                0.61225,                0.52145,                0.30058,                 1.1942,                 2.2116,                  1.832,              0.0019505,              0.0019505,              0.0019505
                      8,                0.89497,                0.94999,                 1.5322,                0.88108,                0.74088,                0.83576,                0.72961,                0.69753,                  1.053,                 1.2974,              0.0019406,              0.0019406,              0.0019406
                      9,                0.78119,                0.85545,                 1.4387,                0.91414,                0.83216,                0.91179,                 0.8083,                0.56937,                0.94423,                 1.0451,              0.0019307,              0.0019307,              0.0019307
                     10,                0.70317,                0.76944,                 1.3677,                0.83406,                0.86437,                0.90961,                0.78065,                0.60097,                0.97236,                 1.0909,              0.0019208,              0.0019208,              0.0019208
                     11,                0.69055,                0.75179,                 1.3408,                0.90691,                0.80805,                0.91038,                0.78818,                0.59545,                0.88513,                 1.0295,              0.0019109,              0.0019109,              0.0019109
                     12,                0.65613,                0.71515,                 1.3205,                0.94484,                0.90564,                0.95624,                0.86987,                0.49848,                0.68645,                0.90361,               0.001901,               0.001901,               0.001901
                     13,                0.60558,                0.65422,                 1.2814,                0.90969,                0.86834,                0.93606,                0.86091,                0.53786,                0.71666,                 0.9268,              0.0018911,              0.0018911,              0.0018911
                     14,                0.61376,                0.65146,                 1.2701,                0.91349,                0.89816,                0.94486,                0.85954,                0.47538,                0.64758,                 0.9048,              0.0018812,              0.0018812,              0.0018812
